district_id,district_name,latitude,longitude
district_001,district_name_001,1.00001,18.00001
district_002,district_name_002,1.00002,18.00002
district_003,district_name_003,1.00003,18.00003
district_004,district_name_004,1.00004,18.00004
district_005,district_name_005,1.00005,18.00005
district_006,district_name_006,1.00006,18.00006
district_007,district_name_007,1.00007,18.00007
district_008,district_name_008,1.00008,18.00008
district_009,district_name_009,1.00009,18.00009
district_010,district_name_010,1.0001,18.0001
district_011,district_name_011,1.00011,18.00011
district_012,district_name_012,1.00012,18.00012
district_013,district_name_013,1.00013,18.00013
district_014,district_name_014,1.00014,18.00014
district_015,district_name_015,1.00015,18.00015
district_016,district_name_016,1.00016,18.00016
district_017,district_name_017,1.00017,18.00017
district_018,district_name_018,1.00018,18.00018
district_019,district_name_019,1.00019,18.00019
district_020,district_name_020,1.0002,18.0002
district_021,district_name_021,1.00021,18.00021
district_022,district_name_022,1.00022,18.00022
district_023,district_name_023,1.00023,18.00023
district_024,district_name_024,1.00024,18.00024
district_025,district_name_025,1.00025,18.00025
district_026,district_name_026,1.00026,18.00026
district_027,district_name_027,1.00027,18.00027
district_028,district_name_028,1.00028,18.00028
district_029,district_name_029,1.00029,18.00029
district_030,district_name_030,1.0003,18.0003
district_031,district_name_031,1.00031,18.00031
district_032,district_name_032,1.00032,18.00032
district_033,district_name_033,1.00033,18.00033
district_034,district_name_034,1.00034,18.00034
district_035,district_name_035,1.00035,18.00035
district_036,district_name_036,1.00036,18.00036
district_037,district_name_037,1.00037,18.00037
district_038,district_name_038,1.00038,18.00038
district_039,district_name_039,1.00039,18.00039
district_040,district_name_040,1.0004,18.0004
district_041,district_name_041,1.00041,18.00041
district_042,district_name_042,1.00042,18.00042
district_043,district_name_043,1.00043,18.00043
district_044,district_name_044,1.00044,18.00044
district_045,district_name_045,1.00045,18.00045
district_046,district_name_046,1.00046,18.00046
district_047,district_name_047,1.00047,18.00047
district_048,district_name_048,1.00048,18.00048
district_049,district_name_049,1.00049,18.00049
district_050,district_name_050,1.0005,18.0005
district_051,district_name_051,1.00051,18.00051
district_052,district_name_052,1.00052,18.00052
district_053,district_name_053,1.00053,18.00053
district_054,district_name_054,1.00054,18.00054
district_055,district_name_055,1.00055,18.00055
district_056,district_name_056,1.00056,18.00056
district_057,district_name_057,1.00057,18.00057
district_058,district_name_058,1.00058,18.00058
district_059,district_name_059,1.00059,18.00059
district_060,district_name_060,1.0006,18.0006
district_061,district_name_061,1.00061,18.00061
district_062,district_name_062,1.00062,18.00062
district_063,district_name_063,1.00063,18.00063
district_064,district_name_064,1.00064,18.00064
district_065,district_name_065,1.00065,18.00065
district_066,district_name_066,1.00066,18.00066
district_067,district_name_067,1.00067,18.00067
district_068,district_name_068,1.00068,18.00068
district_069,district_name_069,1.00069,18.00069
district_070,district_name_070,1.0007,18.0007
district_071,district_name_071,1.00071,18.00071
district_072,district_name_072,1.00072,18.00072
district_073,district_name_073,1.00073,18.00073
district_074,district_name_074,1.00074,18.00074
district_075,district_name_075,1.00075,18.00075
district_076,district_name_076,1.00076,18.00076
district_077,district_name_077,1.00077,18.00077
district_078,district_name_078,1.00078,18.00078
district_079,district_name_079,1.00079,18.00079
district_080,district_name_080,1.0008,18.0008
district_081,district_name_081,1.00081,18.00081
district_082,district_name_082,1.00082,18.00082
district_083,district_name_083,1.00083,18.00083
district_084,district_name_084,1.00084,18.00084
district_085,district_name_085,1.00085,18.00085
district_086,district_name_086,1.00086,18.00086
district_087,district_name_087,1.00087,18.00087
district_088,district_name_088,1.00088,18.00088
district_089,district_name_089,1.00089,18.00089
district_090,district_name_090,1.0009,18.0009
district_091,district_name_091,1.00091,18.00091
district_092,district_name_092,1.00092,18.00092
district_093,district_name_093,1.00093,18.00093
district_094,district_name_094,1.00094,18.00094
district_095,district_name_095,1.00095,18.00095
district_096,district_name_096,1.00096,18.00096
district_097,district_name_097,1.00097,18.00097
district_098,district_name_098,1.00098,18.00098
district_099,district_name_099,1.00099,18.00099
district_100,district_name_100,1.001,18.001
