state_id,program_name,total_completion
1,NISHTHA 1.0,'15, 61,875'
2,NISHTHA 1.0,'1, 17,338'
3,NISHTHA 1.0,'12, 06, 457'
4,NISHTHA 1.0,'23, 54,282'
5,NISHTHA 1.0,'3, 4,576'
6,NISHTHA 1.0,'1, 23,865'
7,NISHTHA 1.0,'9, 32,567'
8,NISHTHA 1.0,'65, 11,520'
9,NISHTHA 1.0,'59, 210'
10,NISHTHA 1.0,'32, 250'
11,NISHTHA 1.0,'69, 110'
12,NISHTHA 1.0,'1, 10,550'
13,NISHTHA 1.0,'49, 320'
14,NISHTHA 1.0,'95,2,579'
15,NISHTHA 1.0,'5, 450'
16,NISHTHA 1.0,'10, 15,438'
17,NISHTHA 1.0,'2, 985'
18,NISHTHA 1.0,'1, 23,865'
19,NISHTHA 1.0,'12, 06, 457'
20,NISHTHA 1.0,'23, 54,282'
21,NISHTHA 1.0,'3, 4,576'
22,NISHTHA 1.0,'1, 23,865'
23,NISHTHA 1.0,'9, 32,567'
24,NISHTHA 1.0,'65, 11,520'
25,NISHTHA 2.0,'59, 210'
26,NISHTHA 2.0,'32, 250'
27,NISHTHA 2.0,'4, 652'
28,NISHTHA 2.0,'6, 243'
29,NISHTHA 2.0,'10, 930'
30,NISHTHA 2.0,'1, 990'
1,NISHTHA 2.0,'1, 992'
2,NISHTHA 2.0,'95, 15,743'
3,NISHTHA 2.0,'9, 32,567'
4,NISHTHA 2.0,'65, 11,520'
5,NISHTHA 2.0,'59, 210'
6,NISHTHA 2.0,'32, 250'
7,NISHTHA 2.0,'4, 652'
8,NISHTHA 2.0,'6, 243'
9,NISHTHA 2.0,'10, 930'
10,NISHTHA 2.0,'1, 990'
11,NISHTHA 2.0,'1, 992'
12,NISHTHA 2.0,'95, 15,743'
13,NISHTHA 2.0,'1, 23,865'
14,NISHTHA 2.0,'9, 32,567'
15,NISHTHA 2.0,'65, 11,520'
16,NISHTHA 2.0,'59, 210'
17,NISHTHA 2.0,'32, 250'
18,NISHTHA 2.0,'69, 110'
19,NISHTHA 3.0,'1, 10,550'
20,NISHTHA 3.0,'49, 320'
21,NISHTHA 3.0,'75, 4,750'
22,NISHTHA 3.0,'1, 992'
23,NISHTHA 3.0,'95, 15,743'
24,NISHTHA 3.0,'9, 32,567'
25,NISHTHA 3.0,'65, 11,520'
26,NISHTHA 3.0,'59, 210'
27,NISHTHA 3.0,'32, 250'
28,NISHTHA 3.0,'4, 652'
29,NISHTHA 3.0,'6, 243'
30,NISHTHA 3.0,'10, 930'
1,NISHTHA 3.0,'1, 990'
2,NISHTHA 3.0,'1, 992'
3,NISHTHA 3.0,'95, 15,743'
4,NISHTHA 3.0,'1, 23,865'
5,NISHTHA 3.0,'9, 32,567'
6,NISHTHA 3.0,'65, 11,520'
7,NISHTHA 1.0,'59, 210'
8,NISHTHA 1.0,'32, 250'
9,NISHTHA 1.0,'69, 110'
10,NISHTHA 1.0,'1, 10,550'
11,NISHTHA 1.0,'49, 320'
12,NISHTHA 1.0,'9, 23,542'
13,NISHTHA 1.0,'15, 61,875'
14,NISHTHA 1.0,'1, 17,338'
15,NISHTHA 1.0,'12, 06, 457'
16,NISHTHA 1.0,'23, 54,282'
17,NISHTHA 1.0,'3, 4,576'
18,NISHTHA 1.0,'1, 23,865'
19,NISHTHA 1.0,'9, 32,567'
20,NISHTHA 1.0,'65, 11,520'
21,NISHTHA 1.0,'69, 110'
22,NISHTHA 1.0,'1, 10,550'
