state_id,program_name,total_enrolment
1,NISHTHA 1.0,'13, 4,468'
2,NISHTHA 1.0,'8, 23,536'
3,NISHTHA 1.0,'3, 65,864'
4,NISHTHA 1.0,'17, 53,763'
5,NISHTHA 1.0,'9, 32,567'
6,NISHTHA 1.0,'65, 11,520'
7,NISHTHA 1.0,'59, 210'
8,NISHTHA 1.0,'32, 250'
9,NISHTHA 1.0,'69, 110'
10,NISHTHA 1.0,'1, 10,550'
11,NISHTHA 1.0,'49, 320'
12,NISHTHA 1.0,'95,2,579'
13,NISHTHA 1.0,'5, 450'
14,NISHTHA 1.0,'10, 15,438'
15,NISHTHA 1.0,'2, 985'
16,NISHTHA 1.0,'1, 23,865'
17,NISHTHA 1.0,'12, 06, 457'
18,NISHTHA 1.0,'23, 54,282'
19,NISHTHA 1.0,'3, 4,576'
20,NISHTHA 1.0,'1, 23,865'
21,NISHTHA 1.0,'9, 32,567'
22,NISHTHA 1.0,'65, 11,520'
23,NISHTHA 1.0,'59, 210'
24,NISHTHA 1.0,'32, 250'
25,NISHTHA 1.0,'4, 652'
26,NISHTHA 1.0,'6, 243'
27,NISHTHA 2.0,'10, 930'
28,NISHTHA 2.0,'1, 990'
29,NISHTHA 2.0,'1, 992'
30,NISHTHA 2.0,'95, 15,743'
1,NISHTHA 2.0,'9, 32,567'
2,NISHTHA 2.0,'65, 11,520'
3,NISHTHA 2.0,'59, 210'
4,NISHTHA 2.0,'32, 250'
5,NISHTHA 2.0,'4, 652'
6,NISHTHA 2.0,'6, 243'
7,NISHTHA 2.0,'10, 930'
8,NISHTHA 2.0,'1, 990'
9,NISHTHA 2.0,'1, 992'
10,NISHTHA 2.0,'95, 15,743'
11,NISHTHA 2.0,'1, 23,865'
12,NISHTHA 2.0,'9, 32,567'
13,NISHTHA 2.0,'65, 11,520'
14,NISHTHA 2.0,'59, 210'
15,NISHTHA 2.0,'32, 250'
16,NISHTHA 2.0,'69, 110'
17,NISHTHA 2.0,'1, 10,550'
18,NISHTHA 2.0,'49, 320'
19,NISHTHA 2.0,'75, 4,750'
20,NISHTHA 2.0,'2, 989'
21,NISHTHA 3.0,'13, 6,380'
22,NISHTHA 3.0,'6, 442'
23,NISHTHA 3.0,'8, 529'
24,NISHTHA 3.0,'2, 276'
25,NISHTHA 3.0,'95, 15,743'
26,NISHTHA 3.0,'1, 23,865'
27,NISHTHA 3.0,'9, 32,567'
28,NISHTHA 3.0,'65, 11,520'
29,NISHTHA 3.0,'59, 210'
30,NISHTHA 3.0,'32, 250'
1,NISHTHA 3.0,'69, 110'
2,NISHTHA 3.0,'1, 10,550'
3,NISHTHA 3.0,'49, 320'
4,NISHTHA 3.0,'75, 4,750'
5,NISHTHA 3.0,'2, 989'
6,NISHTHA 3.0,'13, 6,380'
7,NISHTHA 3.0,'6, 442'
8,NISHTHA 3.0,'8, 529'
9,NISHTHA 2.0,'2, 276'
10,NISHTHA 2.0,'32, 250'
11,NISHTHA 2.0,'69, 110'
12,NISHTHA 2.0,'1, 10,550'
13,NISHTHA 2.0,'49, 320'
14,NISHTHA 2.0,'95,2,579'
15,NISHTHA 2.0,'5, 450'
16,NISHTHA 2.0,'10, 15,438'
17,NISHTHA 2.0,'19, 6,735'
18,NISHTHA 2.0,'20, 43,735'
19,NISHTHA 2.0,'75, 4,750'
20,NISHTHA 2.0,'2, 989'
21,NISHTHA 2.0,'13, 6,380'
22,NISHTHA 2.0,'6, 442'
23,NISHTHA 2.0,'8, 529'
24,NISHTHA 2.0,'2, 276'
25,NISHTHA 2.0,'32, 250'
26,NISHTHA 2.0,'69, 110'
27,NISHTHA 2.0,'1, 10,550'
28,NISHTHA 2.0,'49, 320'
29,NISHTHA 2.0,'95,2,579'
30,NISHTHA 2.0,'5, 450'
1,NISHTHA 2.0,'13, 6,380'
2,NISHTHA 2.0,'6, 442'
3,NISHTHA 2.0,'8, 529'
4,NISHTHA 2.0,'2, 276'
